"hotel","is_canceled","lead_time","arrival_date_year","arrival_date_month","arrival_date_week_number","arrival_date_day_of_month","stays_in_weekend_nights","stays_in_week_nights","adults","children","babies","meal","market_segment","reserved_room_type","customer_type","adr","total_of_special_requests"
"City Hotel",0,23,2016,"January",3,11,1,0,2,0,0,"SC","Online TA","A","Transient",62,0
"City Hotel",0,9,2016,"January",3,15,0,2,2,0,0,"BB","Online TA","A","Transient",80.3,1
"City Hotel",0,11,2016,"January",4,17,2,0,2,0,0,"BB","Online TA","A","Transient",98,2
"City Hotel",1,11,2016,"February",6,1,2,5,2,0,0,"SC","Online TA","A","Transient",79,0
"City Hotel",0,53,2016,"February",6,4,2,3,2,0,0,"BB","Direct","A","Transient",65.75,0
"City Hotel",0,31,2016,"February",6,5,0,1,2,0,0,"BB","Online TA","A","Transient",80.3,1
"City Hotel",0,31,2016,"February",6,5,0,1,2,0,0,"BB","Online TA","A","Transient",89.3,1
"City Hotel",1,9,2016,"February",6,5,0,1,1,0,0,"BB","Direct","A","Transient",79,0
"City Hotel",1,35,2016,"February",7,11,0,3,2,0,0,"SC","Online TA","A","Transient",67.5,0
"City Hotel",0,37,2016,"February",7,12,1,2,0,2,0,"BB","Online TA","B","Transient",69.5,1
"City Hotel",1,22,2016,"February",7,12,2,2,2,0,0,"BB","Online TA","D","Transient",80.8,0
"City Hotel",1,1,2016,"February",9,22,1,0,2,0,0,"SC","Online TA","A","Transient",85,0
"City Hotel",1,10,2016,"February",9,25,0,3,2,0,0,"BB","Online TA","A","Transient",93,0
"City Hotel",1,4,2016,"March",10,5,2,1,2,0,0,"BB","Online TA","D","Transient",118,0
"City Hotel",1,70,2016,"March",11,9,0,2,2,0,0,"SC","Online TA","A","Transient",67.5,1
"City Hotel",1,30,2016,"March",11,9,0,3,2,2,0,"BB","Online TA","B","Transient",77.5,0
"City Hotel",1,29,2016,"March",11,9,0,3,2,2,0,"BB","Online TA","B","Transient",77.5,2
"City Hotel",0,87,2016,"March",11,9,1,4,1,0,0,"BB","Online TA","A","Transient",53.67,1
"City Hotel",1,35,2016,"March",11,10,0,1,1,0,0,"BB","Online TA","A","Transient",71.1,0
"City Hotel",1,2,2016,"March",11,10,0,1,2,0,0,"SC","Online TA","A","Transient",89,0
"City Hotel",1,69,2016,"March",11,12,1,1,2,2,0,"BB","Online TA","F","Transient",150.3,1
"City Hotel",1,69,2016,"March",11,12,1,1,2,2,0,"BB","Online TA","F","Transient",150.3,1
"City Hotel",1,69,2016,"March",11,12,1,1,2,0,0,"BB","Online TA","A","Transient",72.9,1
"City Hotel",1,35,2016,"March",12,14,1,2,2,0,0,"SC","Online TA","A","Transient",71.1,0
"City Hotel",0,72,2016,"March",12,16,0,3,2,0,0,"BB","Online TA","A","Transient",81.3,1
"City Hotel",0,71,2016,"March",12,17,0,2,2,0,0,"BB","Online TA","B","Transient-Party",69.05,0
"City Hotel",0,71,2016,"March",12,17,0,2,2,0,0,"BB","Online TA","B","Transient-Party",69,1
"City Hotel",0,75,2016,"March",13,21,1,1,2,0,0,"BB","Online TA","B","Transient-Party",78.15,0
"City Hotel",0,75,2016,"March",13,21,1,1,2,0,0,"BB","Online TA","B","Transient-Party",78,0
"City Hotel",0,78,2016,"March",13,21,1,5,2,2,0,"BB","Online TA","F","Transient",154.7,0
"City Hotel",0,89,2016,"March",13,21,2,5,2,0,0,"BB","Online TA","A","Transient",83.66,1
"City Hotel",1,32,2016,"March",13,25,0,2,2,0,0,"BB","Online TA","D","Transient",149.4,0
"City Hotel",0,86,2016,"March",13,26,2,3,2,0,0,"BB","Online TA","A","Transient",95.85,1
"City Hotel",1,5,2016,"March",13,26,2,5,2,0,0,"BB","Online TA","D","Transient",146,0
"City Hotel",1,68,2016,"March",14,29,4,11,1,0,0,"BB","Online TA","A","Transient",76.22,0
"City Hotel",1,102,2016,"April",14,2,2,4,2,0,0,"SC","Direct","A","Transient",80.75,2
"City Hotel",1,14,2016,"April",15,3,2,0,2,0,0,"SC","Online TA","A","Transient",89,1
"City Hotel",1,79,2016,"April",15,3,2,4,2,0,0,"BB","Online TA","D","Transient",95.2,0
"City Hotel",1,46,2016,"April",15,4,1,1,2,0,0,"SC","Online TA","A","Transient",107.1,0
"City Hotel",0,113,2016,"April",15,4,1,3,2,0,0,"BB","Online TA","A","Transient",63.49,2
"City Hotel",1,95,2016,"April",15,5,0,2,1,0,0,"BB","Online TA","A","Transient",72.8,0
"City Hotel",1,107,2016,"April",15,5,0,2,1,0,0,"BB","Online TA","A","Transient",81.9,0
"City Hotel",1,77,2016,"April",15,8,2,6,1,0,0,"BB","Online TA","A","Transient",80.75,0
"City Hotel",1,64,2016,"April",16,11,1,1,2,0,0,"SC","Online TA","A","Transient",94.5,1
"City Hotel",1,19,2016,"April",16,14,2,3,2,0,0,"BB","Online TA","D","Transient",131.6,0
"City Hotel",1,82,2016,"April",16,16,2,4,2,0,0,"BB","Online TA","D","Transient",109.37,0
"City Hotel",1,56,2016,"April",17,17,2,0,2,0,0,"SC","Online TA","A","Transient",90,0
"City Hotel",1,5,2016,"April",17,23,0,1,3,1,0,"BB","Direct","E","Transient",197,0
"City Hotel",1,80,2016,"April",18,24,2,2,2,2,0,"HB","Online TA","F","Transient",173.19,0
"City Hotel",1,36,2016,"April",18,29,0,1,1,0,0,"SC","Offline TA/TO","A","Transient",111.6,0
"City Hotel",1,37,2016,"April",18,29,2,2,2,0,0,"BB","Online TA","A","Transient",126.9,0
"City Hotel",1,53,2016,"April",18,30,0,1,1,0,0,"BB","Direct","A","Transient",116.1,0
"City Hotel",1,22,2016,"April",18,30,1,1,3,0,0,"BB","Online TA","D","Transient",172,0
"City Hotel",1,36,2016,"April",18,30,2,2,1,0,0,"BB","Online TA","D","Transient",140.4,0
"City Hotel",1,38,2016,"May",19,7,1,1,2,0,0,"BB","Online TA","A","Transient",135.9,0
"City Hotel",1,49,2016,"May",19,7,2,5,2,0,0,"BB","Online TA","A","Transient",119.85,0
"City Hotel",1,68,2016,"May",19,7,2,4,2,1,0,"BB","Online TA","A","Transient",135.15,0
"City Hotel",1,65,2016,"May",20,9,1,3,1,0,0,"BB","Online TA","D","Transient",132.6,0
"City Hotel",1,38,2016,"May",20,10,0,3,3,0,0,"BB","Online TA","D","Transient",159.3,0
"City Hotel",1,130,2016,"May",20,12,1,3,2,0,0,"BB","Online TA","D","Transient",113.05,1
"City Hotel",1,39,2016,"May",20,12,1,3,2,0,0,"SC","Online TA","A","Transient",116.1,0
"City Hotel",0,129,2016,"May",20,13,1,2,1,0,0,"BB","Online TA","D","Transient",121.5,1
"City Hotel",1,116,2016,"May",21,18,0,1,2,0,0,"BB","Online TA","A","Transient",104.5,0
"City Hotel",1,81,2016,"May",21,19,0,1,2,0,0,"SC","Online TA","A","Transient",116.1,0
"City Hotel",1,29,2016,"May",21,20,2,3,2,0,0,"BB","Online TA","D","Transient",132.72,1
"City Hotel",1,23,2016,"May",21,21,1,1,1,0,0,"BB","Online TA","D","Transient",156,0
"City Hotel",1,76,2016,"May",22,22,1,0,2,0,0,"SC","Online TA","A","Transient",116.1,0
"City Hotel",0,169,2016,"May",22,25,0,4,2,0,0,"BB","Online TA","D","Transient-Party",123.25,0
"City Hotel",0,169,2016,"May",22,25,0,4,2,0,0,"BB","Online TA","D","Transient-Party",123.25,0
"City Hotel",1,144,2016,"May",22,27,2,2,2,0,0,"BB","Online TA","D","Transient",118.15,1
"City Hotel",1,144,2016,"May",22,27,2,2,2,2,0,"BB","Online TA","F","Transient",177.65,1
"City Hotel",1,144,2016,"May",22,27,2,2,2,2,0,"BB","Online TA","F","Transient",177.65,1
"City Hotel",1,110,2016,"June",23,3,0,1,2,1,0,"BB","Online TA","A","Transient-Party",143.1,0
"City Hotel",1,37,2016,"June",23,4,1,1,2,0,0,"BB","Online TA","D","Transient",131.4,0
"City Hotel",1,31,2016,"June",24,8,0,2,2,0,0,"BB","Online TA","A","Transient",110.7,1
"City Hotel",1,32,2016,"June",24,8,0,4,2,2,0,"BB","Online TA","F","Transient",191.7,0
"City Hotel",1,16,2016,"June",24,11,0,1,2,2,0,"BB","Online TA","F","Transient",221,0
"City Hotel",1,53,2016,"June",25,12,1,0,2,0,0,"BB","Direct","D","Transient",129.2,1
"City Hotel",1,154,2016,"June",25,12,2,1,2,2,0,"BB","Online TA","F","Transient",189.9,0
"City Hotel",1,153,2016,"June",25,12,2,1,2,2,0,"BB","Online TA","F","Transient",189.9,0
"City Hotel",1,146,2016,"June",25,12,2,1,2,2,0,"BB","Online TA","F","Transient",178.2,3
"City Hotel",1,160,2016,"June",25,12,2,2,2,0,0,"BB","Online TA","B","Transient-Party",103.22,1
"City Hotel",1,159,2016,"June",25,12,2,2,2,0,0,"BB","Online TA","B","Transient-Party",103.21,0
"City Hotel",1,120,2016,"June",25,13,1,0,2,0,0,"BB","Online TA","D","Transient-Party",140.4,0
"City Hotel",1,28,2016,"June",26,21,0,1,3,0,0,"BB","Online TA","D","Transient",147,2
"City Hotel",1,28,2016,"June",26,21,0,1,2,0,0,"BB","Online TA","D","Transient",126,1
"City Hotel",1,37,2016,"June",27,26,2,1,2,1,0,"BB","Online TA","A","Transient",115.32,0
"City Hotel",1,59,2016,"June",27,27,1,2,2,0,0,"SC","Online TA","A","Transient",101.1,0
"City Hotel",1,59,2016,"June",27,27,1,2,2,0,0,"SC","Online TA","A","Transient",101.1,0
"City Hotel",1,129,2016,"June",27,27,1,4,2,0,0,"SC","Online TA","A","Transient",80.75,1
"City Hotel",1,89,2016,"June",27,27,1,5,3,0,0,"BB","Online TA","D","Transient",143.7,0
"City Hotel",1,90,2016,"June",27,28,1,5,2,0,0,"BB","Online TA","A","Transient",114.3,0
"City Hotel",1,123,2016,"June",27,28,2,6,3,0,0,"BB","Online TA","A","Transient",126.86,0
"City Hotel",0,206,2016,"June",27,30,1,3,2,0,0,"BB","Online TA","E","Transient",101.83,0
"City Hotel",1,113,2016,"July",27,1,2,6,3,0,0,"BB","Online TA","D","Transient",138.55,0
"City Hotel",1,81,2016,"July",28,3,2,1,2,0,0,"SC","Online TA","A","Transient",103.5,1
"City Hotel",1,101,2016,"July",28,3,2,5,1,0,0,"SC","Online TA","A","Transient",103.5,0
"City Hotel",1,2,2016,"July",28,4,1,0,2,0,0,"BB","Direct","A","Transient",116.45,0
"City Hotel",1,23,2016,"July",28,5,0,2,1,0,0,"BB","Online TA","A","Transient",145,0
"City Hotel",1,11,2016,"July",28,5,2,6,1,0,0,"BB","Online TA","A","Transient",145,0
"City Hotel",1,24,2016,"July",28,7,1,3,2,0,0,"BB","Direct","E","Transient",187,0
"City Hotel",1,10,2016,"July",28,9,0,1,2,0,0,"BB","Direct","D","Transient",99.52,0
"City Hotel",1,113,2016,"July",29,10,1,0,2,0,0,"SC","Online TA","A","Transient",103.5,0
"City Hotel",1,126,2016,"July",29,11,1,2,2,0,0,"SC","Online TA","A","Transient-Party",73.12,0
"City Hotel",1,128,2016,"July",29,11,1,2,3,0,0,"BB","Online TA","A","Transient-Party",140.7,0
"City Hotel",1,60,2016,"July",29,11,1,4,2,0,0,"BB","Online TA","D","Transient",120.6,0
"City Hotel",1,60,2016,"July",29,12,0,1,2,0,0,"BB","Online TA","A","Transient",105.3,0
"City Hotel",1,92,2016,"July",29,14,0,2,2,2,0,"BB","Online TA","F","Transient",177.3,0
"City Hotel",1,99,2016,"July",29,16,2,1,2,0,0,"SC","Online TA","A","Transient",94.5,1
"City Hotel",1,134,2016,"July",30,17,1,0,2,0,0,"SC","Online TA","A","Transient",94.5,1
"City Hotel",1,68,2016,"July",31,24,2,1,2,1,0,"BB","Online TA","A","Transient",121.5,0
"City Hotel",1,131,2016,"July",31,25,1,1,1,1,0,"HB","Online TA","A","Transient",164.25,0
"City Hotel",1,61,2016,"July",31,26,0,2,2,0,0,"SC","Online TA","A","Transient",94.5,0
"City Hotel",1,0,2016,"August",32,1,1,0,2,0,0,"SC","Online TA","A","Transient",109,1
"City Hotel",1,119,2016,"August",32,5,2,2,1,0,0,"BB","Online TA","D","Transient",144.45,0
"City Hotel",1,116,2016,"August",32,5,2,5,3,0,0,"BB","Online TA","D","Transient",145.41,0
"City Hotel",1,34,2016,"August",33,10,0,1,3,0,0,"BB","Online TA","D","Transient",168.3,0
"City Hotel",1,34,2016,"August",33,10,0,1,2,0,0,"BB","Online TA","D","Transient",149.4,0
"City Hotel",1,151,2016,"August",33,13,1,1,2,0,0,"SC","Online TA","A","Transient",103.5,0
"City Hotel",1,143,2016,"August",33,13,1,1,2,0,0,"BB","Online TA","A","Transient",114.3,0
"City Hotel",1,151,2016,"August",33,13,1,1,2,0,0,"SC","Online TA","A","Transient",103.5,0
"City Hotel",1,143,2016,"August",33,13,1,1,2,0,0,"BB","Online TA","A","Transient",114.3,0
"City Hotel",1,125,2016,"August",34,20,1,1,3,0,0,"BB","Online TA","D","Transient",137.7,1
"City Hotel",1,94,2016,"August",35,24,0,4,2,0,0,"BB","Online TA","D","Transient",131.4,0
"City Hotel",1,54,2016,"August",35,26,0,1,2,0,0,"SC","Online TA","A","Transient",125.1,0
"City Hotel",1,127,2016,"August",35,26,0,2,3,0,0,"BB","Online TA","D","Transient",128.7,0
"City Hotel",1,105,2016,"August",35,26,1,2,3,0,0,"BB","Online TA","D","Transient",150.3,0
"City Hotel",1,105,2016,"August",35,26,1,2,2,0,0,"BB","Online TA","D","Transient",131.4,0
"City Hotel",1,176,2016,"August",35,27,1,1,2,0,0,"BB","Online TA","A","Transient",96.3,0
"City Hotel",1,52,2016,"August",35,27,2,1,3,0,0,"BB","Online TA","D","Transient",150.9,1
"City Hotel",1,84,2016,"August",36,28,2,1,3,0,0,"BB","Online TA","D","Transient",159.3,0
"City Hotel",1,50,2016,"September",36,2,0,1,2,0,0,"SC","Online TA","A","Transient",99,0
"City Hotel",1,193,2016,"September",36,3,0,1,2,0,0,"BB","Online TA","A","Transient",108.9,1
"City Hotel",1,29,2016,"September",37,4,2,0,2,0,0,"BB","Online TA","D","Transient",130.15,1
"City Hotel",1,12,2016,"September",37,4,2,0,2,0,0,"BB","Online TA","D","Transient",154,0
"City Hotel",1,62,2016,"September",37,4,2,2,2,0,0,"BB","Online TA","B","Transient",96.23,0
"City Hotel",1,62,2016,"September",37,4,2,2,0,2,0,"BB","Online TA","B","Transient",96.23,0
"City Hotel",1,243,2016,"September",37,4,4,6,1,0,0,"BB","Online TA","A","Transient",89.17,0
"City Hotel",1,11,2016,"September",37,5,1,1,2,0,0,"BB","Online TA","D","Transient",154,0
"City Hotel",1,49,2016,"September",37,5,1,2,1,0,0,"BB","Online TA","D","Transient",115.5,1
"City Hotel",1,57,2016,"September",37,7,0,1,2,0,0,"SC","Online TA","A","Transient",87.3,3
"City Hotel",1,25,2016,"September",37,9,0,1,2,0,0,"SC","Online TA","A","Transient",106.2,0
"City Hotel",1,25,2016,"September",37,9,0,1,1,0,0,"SC","Online TA","A","Transient",106.2,0
"City Hotel",1,56,2016,"September",38,11,2,1,2,0,0,"SC","Online TA","A","Transient",125.1,0
"City Hotel",1,61,2016,"September",38,12,1,1,2,0,0,"SC","Online TA","A","Transient",125.1,0
"City Hotel",1,198,2016,"September",38,15,0,1,2,0,0,"SC","Online TA","A","Transient",116.1,3
"City Hotel",1,205,2016,"September",38,15,0,1,2,0,0,"SC","Online TA","A","Transient",116.1,0
"City Hotel",1,2,2016,"September",38,16,0,1,2,0,0,"BB","Direct","A","Transient",169,0
"City Hotel",1,5,2016,"September",38,17,0,1,2,0,0,"SC","Online TA","A","Transient",159,1
"City Hotel",1,255,2016,"September",39,20,0,4,2,0,0,"BB","Online TA","D","Transient",122.83,0
"City Hotel",1,14,2016,"September",39,22,0,1,1,0,0,"BB","Online TA","D","Transient",184,2
"City Hotel",1,14,2016,"September",39,22,0,1,1,0,0,"BB","Online TA","D","Transient",184,2
"City Hotel",1,14,2016,"September",39,22,0,1,1,0,0,"BB","Online TA","D","Transient",184,2
"City Hotel",1,12,2016,"September",40,25,2,0,2,0,0,"BB","Online TA","A","Transient",149,0
"City Hotel",1,13,2016,"September",40,25,2,0,2,0,0,"BB","Online TA","A","Transient",149,0
"City Hotel",1,44,2016,"September",40,25,2,1,2,0,0,"BB","Online TA","D","Transient",149.4,0
"City Hotel",1,253,2016,"September",40,26,1,2,1,0,0,"BB","Online TA","A","Transient",2,0
"City Hotel",1,253,2016,"September",40,26,1,2,1,0,0,"BB","Online TA","A","Transient",2,0
"City Hotel",0,274,2016,"September",40,27,0,2,2,0,0,"BB","Online TA","D","Transient",115.2,1
"City Hotel",1,2,2016,"September",40,28,0,1,2,0,0,"SC","Online TA","A","Transient",0,1
"City Hotel",1,47,2016,"October",41,2,2,0,1,0,0,"BB","Online TA","A","Transient",127,1
"City Hotel",1,39,2016,"October",41,2,2,0,1,0,0,"BB","Online TA","A","Transient",134,1
"City Hotel",1,26,2016,"October",41,2,2,1,1,0,0,"BB","Online TA","A","Transient",147,0
"City Hotel",1,26,2016,"October",41,2,2,1,1,0,0,"BB","Online TA","A","Transient",147,0
"City Hotel",1,31,2016,"October",41,2,2,1,1,0,0,"SC","Online TA","A","Transient",114.3,1
"City Hotel",1,122,2016,"October",41,4,0,1,2,0,0,"SC","Online TA","A","Transient",108,1
"City Hotel",1,196,2016,"October",41,8,1,1,2,0,0,"BB","Online TA","D","Transient",122.4,0
"City Hotel",1,205,2016,"October",41,8,1,1,2,0,0,"SC","Online TA","A","Transient",98.1,0
"City Hotel",1,35,2016,"October",42,11,0,3,2,0,0,"BB","Online TA","D","Transient",151.5,1
"City Hotel",1,99,2016,"October",42,12,0,4,2,0,0,"BB","Direct","F","Transient",187.2,0
"City Hotel",1,97,2016,"October",42,12,1,4,2,0,0,"BB","Direct","F","Transient",176.8,0
"City Hotel",1,59,2016,"October",42,13,0,3,2,0,0,"BB","Direct","D","Transient",128.7,0
"City Hotel",1,54,2016,"October",42,13,0,3,2,0,0,"BB","Online TA","D","Transient",139.5,3
"City Hotel",1,32,2016,"October",42,15,2,1,2,0,0,"BB","Online TA","D","Transient",161.33,0
"City Hotel",1,103,2016,"October",43,17,1,4,2,0,0,"BB","Online TA","A","Transient",118.8,3
"City Hotel",1,46,2016,"October",44,25,0,3,2,0,0,"SC","Online TA","A","Transient",112.67,1
"City Hotel",1,30,2016,"November",45,2,4,9,1,2,0,"BB","Online TA","F","Transient",186.22,0
"City Hotel",1,30,2016,"November",45,2,4,9,1,2,0,"BB","Online TA","F","Transient",186.22,1
"City Hotel",1,30,2016,"November",45,2,4,9,1,2,0,"BB","Online TA","F","Transient",186.22,1
"City Hotel",1,74,2016,"November",45,4,2,6,2,0,0,"BB","Direct","D","Transient",155.5,0
"City Hotel",1,76,2016,"November",46,6,1,0,2,0,0,"SC","Online TA","A","Transient",79.2,2
"City Hotel",1,68,2016,"November",46,7,1,3,1,0,0,"BB","Online TA","E","Transient",220,2
"City Hotel",1,109,2016,"November",46,8,0,4,1,0,0,"BB","Offline TA/TO","E","Transient",216,1
"City Hotel",1,17,2016,"November",46,9,0,4,2,0,0,"BB","Direct","E","Transient",178.75,0
"City Hotel",1,28,2016,"November",46,11,1,2,3,0,0,"BB","Online TA","D","Transient",166.67,0
"City Hotel",1,20,2016,"November",46,11,2,5,2,0,0,"SC","Online TA","A","Transient",77.71,0
"City Hotel",1,131,2016,"November",47,13,2,4,2,0,0,"SC","Online TA","A","Transient",85.27,1
"City Hotel",1,49,2016,"November",47,19,2,5,2,0,0,"SC","Online TA","A","Transient",74.8,0
"City Hotel",1,37,2016,"December",49,2,2,2,2,0,0,"SC","Online TA","A","Transient",74.8,1
"City Hotel",1,37,2016,"December",49,2,2,2,2,0,0,"SC","Online TA","A","Transient",74.8,1
"City Hotel",1,31,2016,"December",50,4,5,10,1,0,0,"SC","Online TA","A","Transient",87.41,2
"City Hotel",1,0,2016,"December",50,9,4,7,2,0,0,"SC","Online TA","A","Transient",71.25,0
"City Hotel",1,58,2016,"December",51,12,1,0,2,0,0,"SC","Online TA","A","Transient",79.2,0
"City Hotel",1,18,2016,"December",51,17,2,2,2,0,0,"SC","Online TA","A","Transient",74.8,0
"City Hotel",1,88,2016,"December",51,17,2,5,3,0,0,"BB","Online TA","D","Transient",119,1
"City Hotel",1,220,2016,"December",52,21,1,4,3,0,0,"BB","Online TA","D","Transient",104.55,0
"City Hotel",1,84,2016,"December",52,22,0,1,2,0,0,"SC","Online TA","A","Transient",79.2,0
"City Hotel",1,84,2016,"December",52,22,0,1,2,1,0,"BB","Online TA","A","Transient",122,0
"City Hotel",1,89,2016,"December",52,22,2,3,3,0,0,"BB","Online TA","D","Transient",119,1
"City Hotel",1,89,2016,"December",52,22,2,3,2,0,0,"SC","Online TA","A","Transient",74.8,1
"City Hotel",1,94,2016,"December",52,23,2,2,3,0,0,"BB","Online TA","D","Transient",119,1
"City Hotel",1,94,2016,"December",52,23,2,2,3,0,0,"BB","Online TA","D","Transient",119,1
"City Hotel",1,20,2016,"December",53,25,2,0,2,0,0,"SC","Online TA","A","Transient",88,2
"City Hotel",1,223,2016,"December",53,26,2,5,2,0,0,"BB","Direct","A","Transient",69.09,0
"City Hotel",1,223,2016,"December",53,26,2,5,2,0,0,"BB","Direct","A","Transient",69.09,0
"City Hotel",1,237,2016,"December",53,28,2,5,2,0,0,"BB","Online TA","A","Transient",95.56,0
"City Hotel",1,237,2016,"December",53,28,2,5,2,1,0,"BB","Online TA","A","Transient",80.26,0
"City Hotel",1,237,2016,"December",53,28,2,5,2,2,0,"BB","Online TA","F","Transient",148.26,0
"City Hotel",1,28,2017,"January",1,4,0,1,1,0,0,"BB","Online TA","A","Transient",96,3
"City Hotel",1,195,2017,"January",1,4,0,4,2,0,0,"SC","Online TA","A","Transient",74.8,0
"City Hotel",1,75,2017,"January",1,7,1,1,1,0,0,"BB","Online TA","A","Transient",86.4,1
"City Hotel",1,12,2017,"January",2,14,2,6,3,0,0,"BB","Online TA","E","Transient",114.28,2
"City Hotel",1,21,2017,"January",3,16,1,5,2,0,0,"BB","Direct","D","Transient",95.16,0
"City Hotel",1,22,2017,"January",3,16,1,5,2,0,0,"BB","Online TA","D","Transient",99.24,0
"City Hotel",1,69,2017,"January",4,25,0,2,2,0,0,"SC","Online TA","A","Transient",88,0
"City Hotel",1,30,2017,"January",4,28,2,1,2,1,0,"BB","Online TA","A","Transient",120.33,0
"City Hotel",1,65,2017,"February",5,2,0,1,2,0,0,"BB","Online TA","A","Transient",93.6,1
"City Hotel",1,28,2017,"February",6,10,1,2,3,0,0,"BB","Online TA","D","Transient",160,0
"City Hotel",1,76,2017,"February",7,16,1,3,2,0,0,"BB","Online TA","A","Transient",88.4,0
"City Hotel",1,32,2017,"February",8,24,2,4,1,0,0,"BB","Online TA","D","Transient",100.3,1
"City Hotel",1,29,2017,"March",9,3,2,2,2,0,0,"BB","Online TA","D","Transient",100.3,0
"City Hotel",1,58,2017,"March",10,5,2,0,2,0,0,"SC","Online TA","A","Transient",79.2,0
"City Hotel",1,82,2017,"March",10,5,2,4,2,0,0,"BB","Online TA","A","Transient",91.8,0
"City Hotel",1,104,2017,"March",10,10,0,2,2,0,0,"BB","Online TA","A","Transient",97.2,0
"City Hotel",1,6,2017,"March",10,10,2,3,1,0,0,"BB","Online TA","E","Transient",152,0
"City Hotel",1,45,2017,"March",10,11,1,1,2,2,0,"BB","Online TA","F","Transient",198,0
"City Hotel",1,15,2017,"March",10,11,2,1,2,0,0,"BB","Online TA","D","Transient",121.33,0
"City Hotel",1,43,2017,"March",10,11,2,3,2,0,0,"BB","Online TA","D","Transient",100.3,1
"City Hotel",1,45,2017,"March",11,16,0,1,2,0,0,"BB","Online TA","A","Transient",97.2,0
"City Hotel",1,72,2017,"March",11,17,0,1,2,2,0,"BB","Online TA","F","Transient",160.2,0
"City Hotel",1,110,2017,"March",11,18,1,1,2,0,0,"BB","Online TA","D","Transient",106.2,2
"City Hotel",1,28,2017,"March",12,21,0,4,3,0,0,"BB","Online TA","E","Transient",127.93,1
"City Hotel",1,20,2017,"March",12,22,1,4,2,2,0,"BB","Online TA","F","Transient",200,0
"City Hotel",1,31,2017,"March",12,25,1,1,2,2,0,"BB","Online TA","F","Transient",198,0
"City Hotel",1,112,2017,"March",13,26,1,0,2,0,0,"SC","Online TA","A","Transient",79.2,2
"City Hotel",1,106,2017,"March",13,28,0,5,2,0,0,"SC","Online TA","A","Transient",79.64,2
"City Hotel",1,52,2017,"March",13,30,0,2,2,0,0,"SC","Online TA","A","Transient",88.2,0
"City Hotel",1,208,2017,"April",13,1,2,1,2,0,0,"SC","Online TA","A","Transient",99,2
"City Hotel",1,169,2017,"April",14,3,1,4,2,0,0,"BB","Online TA","A","Transient",117,0
"City Hotel",1,111,2017,"April",14,8,2,6,2,0,0,"BB","Online TA","D","Transient",136.13,0
"City Hotel",1,52,2017,"April",15,9,2,0,2,0,0,"SC","Online TA","A","Transient",108,0
"City Hotel",1,52,2017,"April",15,9,2,0,2,0,0,"SC","Online TA","A","Transient",108,0
"City Hotel",1,202,2017,"April",15,9,2,1,3,0,0,"BB","Online TA","D","Transient",166,0
"City Hotel",1,202,2017,"April",15,9,2,1,2,2,0,"BB","Online TA","B","Transient",229,0
"City Hotel",1,55,2017,"April",15,9,2,3,1,0,0,"BB","Online TA","A","Transient",117,0
"City Hotel",1,10,2017,"April",15,10,1,1,2,0,0,"SC","Online TA","A","Transient",115,1
"City Hotel",1,11,2017,"April",15,14,1,2,2,0,0,"SC","Online TA","A","Transient",138.33,0
"City Hotel",1,60,2017,"April",15,15,0,1,2,2,0,"BB","Online TA","F","Transient",230,0
"City Hotel",1,4,2017,"April",15,15,1,1,2,0,0,"SC","Online TA","A","Transient",155,0
"City Hotel",1,196,2017,"April",16,16,2,1,2,0,0,"SC","Online TA","A","Transient",99,1
"City Hotel",1,34,2017,"April",16,17,1,1,1,0,0,"BB","Online TA","A","Transient",129,0
"City Hotel",1,144,2017,"April",16,17,1,3,2,0,0,"SC","Online TA","A","Transient",99,0
"City Hotel",1,15,2017,"April",16,17,1,4,2,0,0,"SC","Online TA","A","Transient",115,1
"City Hotel",1,59,2017,"April",16,18,0,2,2,2,0,"BB","Online TA","F","Transient",239,0
"City Hotel",1,90,2017,"April",16,18,0,5,2,0,0,"BB","Online TA","D","Transient",135,1
"City Hotel",1,316,2017,"April",16,21,0,1,2,0,0,"BB","Online TA","A","Transient",109.8,0
"City Hotel",1,316,2017,"April",16,21,0,1,2,0,0,"BB","Direct","A","Transient",93.5,0
"City Hotel",1,316,2017,"April",16,21,0,1,2,0,0,"BB","Direct","A","Transient",93.5,0
"City Hotel",1,316,2017,"April",16,21,0,1,2,0,0,"BB","Online TA","A","Transient",109.8,0
"City Hotel",1,54,2017,"April",17,23,2,1,3,0,0,"BB","Online TA","D","Transient",171,0
"City Hotel",1,37,2017,"April",17,24,1,2,2,2,0,"BB","Online TA","F","Transient",224,0
"City Hotel",1,58,2017,"April",17,26,0,3,3,0,0,"BB","Online TA","E","Transient",198,0
"City Hotel",1,78,2017,"April",17,28,0,1,2,0,0,"SC","Online TA","A","Transient",108,0
"City Hotel",1,134,2017,"April",17,28,2,2,2,2,0,"BB","Online TA","F","Transient",191.25,2
"City Hotel",1,10,2017,"April",17,29,0,1,2,0,0,"BB","Online TA","D","Transient",190,2
"City Hotel",1,26,2017,"April",17,29,1,1,2,0,0,"SC","Online TA","A","Transient",115,1
"City Hotel",1,63,2017,"May",18,1,1,0,2,0,0,"BB","Online TA","A","Transient",144,0
"City Hotel",1,43,2017,"May",18,1,1,1,2,0,0,"SC","Online TA","A","Transient",149,0
"City Hotel",1,228,2017,"May",18,1,1,2,2,0,0,"SC","Online TA","A","Transient",99,1
